
# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario\mario2.png	255	255	255
1	textures\mario\hold-shell1.png	255	255	255
2	textures\mario\hold-shell2.png	0	255	255
21	textures\misc2.png	0	117	255
22	textures\misc3.png	166	185	255
10	textures\enemies.png	3	26	110
30	textures\enemies-2.png	0	128	128
70	textures\background.png	76	220	72
39	textures\mario\raccoon_3.png	255	255	255
40	textures\mario\raccoon_4.png	255	255	255
41	textures\mario\raccoon_5.png	255 	255	255
42	textures\mario\fireball_right.png	0	255	255
43	textures\mario\fireball_left.png	0	255	255
44	textures\mario\fireball_bonus_left.png	0	255	255
33	textures\effect.png	176	224	248
50	textures\enemy\enemies_custom_2.png	255	255	255
51	textures\enemy\enemies_custom.png	255	255	255
52	textures\enemy\enemies-5.png	0	255	255
53	textures\enemy\enemies-5_1.png	0	255	255
54	textures\enemy\enemies-5_2.png	0	255	255

# id	left	top	right	bottom	texture_id
[SPRITES]
# =============== MARIO ===============
# === BIG MARIO 
# idle right
10000	209	243	230	270	0
# walk right
10001	249	243	271	270	0
10002	289	244	311	270	0
# run fast right
10003	209	323	232	350	0
10004	249	323	272	350	0
10005	289	324	312	350	0
# jump right
10006	329	244	351	270	0
# stop and to right
10007	170	283	191	311	0
# sit down right
10008	370	239	390	266	0
# kick right
10009	252	283	273	310	0
# hold shell right
10010	323	323	345	350	0
10011	349	323	371	350	0
10012	11	7	33	33	2

# idle left
10020	176	243	190	270	0
# walk left
10021	135	243	151	270	0
10022	95	244	111	270	0
# jump left
10023	55	244	71	270	0
# run fast left
10024	174	323	193	350	0
10025	134	323	153	350	0
10026	94	324	113	350	0
# stop and to left
10027	215	283	231	311	0
# sit down left
10028	16	239	30	266	0
# kick left
10029	133	283	154	310	0
# hold shell left
10030	118	13	139	40	1
10031	74	14	95	41	1
10032	27	13	48	40	1

# die 
10099	375	209	391	225	0

# === SMALL MARIO
# idle right
10040	215	88	229	104	0
# walk right
10041	256	89	271	105	0
# run fast right
10043	215	169	231	185	0
10044	255	169	271	185	0
# jump small right 
10045	335	89	351	105	0
# stop right
10046	216	129	230	145	0
# kick right
10047	255	129	271	145	0
# hold shell right
10048	335	169	350	185	0
10049	376	169	391	185	0

# idle left
10060	175	88	189	104	0
# walk left
10061	134	89	150	105	0
# run fast left
10063	175	169	191	185	0
10064	135	169	151	185	0
# jump left
10065	55	89	71	105	0
# stop left
10066	176	129	190	145	0
# kick left
10067	135	129	151	145	0
# hold shell left
10068	56	169	70	185	0
10069	15	169	30	185	0

# === RACCOON MARIO
# idle right
10100	208	443	233	471	0
# walk right
10101	260	443	284	471	0
10102	289	443	314	470	0
# run fast right
10103	209	523	235	551	0
10104	249	523	275	551	0
10105	289	523	315	550	0
# jump right
10106	329	443	354	470	0
# stop right
10107	166	482	191	512	0
# spin tail idle right
10108	234	443	259	471	0
10109	346	483	371	511	0
10110	6	4	38	32	39
10111	381	483	406	511	0
# sit down right
10112	370	438	394	466	0
# wag tail while falling right
10113	209	603	234	631	0
10114	249	603	274	631	0
# flying right
10115	291	603	315	631	0
10116	331	603	355	630	0
10117	371	603	395	630	0
# kick right
10118	247	483	269	511	0
# hold shell right
10119	318	523	343	551	0
11120	348	523	373	551	0
11121	379	523	404	550	0

# idle left
10120	8	3	36	31	41
# walk left
10121	115	443	144	471	0
10122	85	443	115	470	0
# run fast left
10123	164	523	195	551	0
10124	124	523	155	551	0
10125	84	523	115	550	0
# jump left
10126	45	443	75	470	0
# stop left
10127	208	482	231	512	0
# spin tail idle left
10128	8	4	38	32	39
10129	348	483	371	511	0
10130	236	443	259	471	0
10131	383	483	406	511	0
# sit down left
10132	5	438	34	466	0
# wag tail while falling left
10133	165	603	195	631	0
10134	125	603	154	631	0
# flying left
10135	84	603	115	631	0
10136	44	603	75	630	0
10137	4	603	35	630	0
# kick left
10138	137	483	159	511	0
# hold shell left
10139	119	79	149	107	1
10140	74	78	104	106	1
10141	24	78	54	106	1

# === FIRE MARIO
# idle right
10200	216	683	230	710	0
# walk right
10201	255	683	271	710	0
10202	295	684	311	710	0
# run fast right
10203	213	763	232	790	0
10204	253	763	272	790	0
10205	293	764	312	790	0
#jump right
10206	335	684	351	710	0
# stop right
10207	175	723	191	751	0
# shoot fireball idle right	
10208	386	803	400	830	0
10209	366	803	380	830	0
# shoot fireball while jumping right
10210	333	804	352	830	0
10211	294	803	312	830	0
10212	253	803	272	830	0
# sit down right
10213	376	678	390	706	0
# kick right
10214	252	723	273	750	0
# hold shell right
10215	329	763	345	790	0
10216	355	763	371	790	0
10217	380	764	396	790	0

# idle left
10220	176	683	190	710	0
# walk left
10221	135	683	151	710	0
10222	95	684	111	710	0
# running left
10223	174	763	193	790	0
10224	134	763	153	790	0
10225	94	764	113	790	0
# jump left 
10226	55	684	71	710	0
# stop left
10227	215	723	231	751	0
# shoot fireball idle left
10228	6	803	20	830	0
10229	26	803	40	830	0
# shoot fireball while jumping left
10230	54	804	73	830	0
10231	94	803	112	830	0
10232	134	803	153	830	0
# sit down left
10233	16	678	30	706	0
# kick left
10234	133	723	154	750	0
# hold shell left
10235	119	140	130	167	1
10236	72	140	93	167	1
10237	24	140	45	167	1

# =============== ITEM ===============

# === BRICK
19001	4	7	20	23	20
#GOOMBA
# move
30001	32	11	48	27	52
30002	9	11	27	27	52
# die by kick
30003	54	11	70	27	52
# die by attack
30004	299	341	315	357	54

# === COIN
51	228	7	242	23	21
52	245	7	257	23	21
53	258	7	268	23	21
54	271	7	283	23	21

# === BRONZE BRICK
55	274	188	290	204	22
56	293	188	309	204	22
57	312	188	328	204	22
58	331	188	347	204	22

# === QUESTION BRICK
40001	157	188	173	204	22
40002	176	188	192	204	22
40003	196	188	212	204	22
40004	215	188	231	204	22
# normal
40005	235	188	251	204	22

# non question
40005	235	188	251	204	20

# === HIT EFFECT
1000	80	20	96	36	33
1001	97	20	111	34	33
1002	126	22	140	33	33

# === TAIL EFFECT
# right pink
1005	72	67	88	83	33
# right white
1006	13	299	29	315	33
# left pink
1007	40	299	56	315	33
# left white
1008	68	299	84	315	33

# === BROKEN BRICK EFFECT
61	27	120	35	128	33
62	47	120	55	128	33

# === COIN EFFECT
63	294	101	302	115	22
64	389	101	395	115	22
65	318	101	325	115	22
66	309	101	312	115	22

# =============== WEAPON ===============
# === FIREBALL
# right
31	17	4	25	12	42
32	4	19	12	27	42
33	4	4	12	12	42
34	18	19	26	27	43

# left
35	5	4	13	12	43
36	18	19	26	27	43
37	4	19	12	27	43
38	4	4	12	12	44

# =============== ENERMY ===============
# === KOOPAS
# move right
30101	280	66	296	93	53
30102	261	66	277	93	53
# move left
30103	28	66	44	93	52
30104	47	66	63	93	52
# lay prone
30105	237	3	253	30	52
# lay supine
30106	239	41	255	68	52
# vibrate prone
30107	71	64	89	91	52
# vibrate supine
30111	278	84	294	111	52
# spin and move prone
30108	258	2	274	29	52
30109	279	2	295	29	52
30110	249	230	265	257	52
#30105	237	3	253	30	52
# spin and move supine
30112	260	42	276	69	52
30113	281	42	297	69	52
30114	249	266	265	293	52
#30106	239	30	255	68	52

#brick with question mark animation

#==========================================
#==========================================

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]

# ======== MARIO ========
# === BIG MARIO
# idle right
100	10000	100
# walk right
101	10000	100	10001	100	10002	100	10001	100
# run fast right
102	10003	25	10004	25	10005	25
# jump right
103	10006	500
# sit down right
104	10008	100
# stop right
105	10007	150
# falling right
106	10002	100
# kick right
107	10009	200
# idle hold shell right
108	10010	100
# walk hold shell right
109	10010	100	10011	100	10012	100	10011	100
# on air hold shell right
110	10012	100

# idle left
120	10020	100
# walk left
121	10020	100	10021	100	10022	100	10021	100
# run fast left
122	10024	25	10025	25	10026	25
# jump left big
123	10023	500
# sit down left
124	10028	100
# stop left
125	10027	150
# falling left
126	10022	100
# kick left
127	10029	200
# idle hold shell left
128	10030	100
# walk hold shell left
129	10030	100	10031	100	10032	100	10031	100
# on air hold shell left
130	10032	100

# === SMALL MARIO
# idle right
140	10040	1000
# walk right
141	10040	100	10041	100
# run fast right
142	10043	25	10044	25
# jump right 
143	10045	100
# stop right
144	10046	100
# kick right
145	10047	200
# idle hold shell right
146	10048	100
# walk hold shell right
147	10048	100	10049	100
# on air hold shell right
148	10049	100

# idle left
160	10060	100
# walk left
161	10060	100	10061	100
# run fast left
162	10063	25	10064	25
# jump left
163	10065	100
# stop left
164	10066	100
# kick left
165	10067	200
# idle hold shell left
166	10068	100
# walk hold shell left
167	10068	100	10069	100
# on air hold shell left
168	10069	100

#die 
599	10099	100

# === RACCOON MARIO
# idle right
200	10100	100
# walk right
201	10100	100	10101	100	10102	100	10101	100
# run fast right
202	10103	25	10104	25	10105	25
# jump right
203	10106	100
# stop right
204	10107	150
# spin tail idle right
205	10108	75	10109	75	10110	75	10111	75	10108	75
# sit down right
206	10112	100
# falling right 
207	10113	100
# wag tail right
208	10114	50	10102	50	10113	50
# flying up right
209	10115	50
# flying down right
210	10016	50
# wag tail while flying right
211	10117	50	10116	50	10115	50
# kick right
212	10118	200
# idle hold shell right
213	10119	100
# walk hold shell right
214	10119	100	11120	100	11121	100	11120	100
# on air hold shell right
215	11121	100


# idle left
220	10120	100
# walk left
221	10120	100	10121	100	10122	100	10121	100
# run fast left
222	10123	25	10124	25	10125	25
# jump left
223	10126	100
# stop left
224	10127	150
# spin tail idle left
225	10128	75	10129	75	10130	75	10131	75	10128	75
# sit down left
226	10132	100
# falling left
227	10133	100
# wag tail left
228	10134	50	10122	50	10133	50
# flying up left
229	10136	50
# flying down left
230	10135	50
# wag tail while flying left
231	10137	50	10136	50	10135	50
# kick left
232	10138	200
# idle hold shell left
233	10139	100
# walk hold shell left
234	10139	100	10140	100	10141	100	10140	100
# on air hold shell left
235	10141	100

# === FIRE MARIO 
# idle right
300	10200	100
# walk right
301	10200	100	10201	100	10202	100	10201	100
# run fast right
302	10203	25	10204	25	10205	25
# jump right
303	10206	100
# stop right
304	10207	150
# shoot fireball right
305	10208	100	10209	100	10200	100
# shoot fireball while jumping right
306	10210	100	10211	100	10212	100
# sit down right
307	10213	100
# falling right
308	10202	100
# kick right
309	10214	200
# idle hold shell right
310	10215	100
# walk hold shell right
311	10215	100	10216	100	10217	100	10216	100
# on air hold shell right
312	10217	100

# idle left
320	10220	100
# walk left
321	10220	100	10221	100	10222	100	10221	100
# run fast left
322	10223	25	10224	25	10225	25
# jump left
323	10226	100
# stop left
324	10227	150
# fshoot fireball left
325	10228	100	10229	100	10220	100
# shoot fireball while jumping left
326	10230	100	10231	100	10232	100
# sit down left
327	10233	100
# falling left
328	10222	100
# kick left
329	10234	200
# idle hold shell left
330	10235	100
# walk hold shell left
331	10235	100	10236	100	10237	100	10236	100
# on air hold shell left
332	10237	100

# ======== BRICK ========
601	19001	100

# ======== QUESTION MARK BRICK ========
602	40001	100	40002	100	40003	100	40004	100
603	40005	100

# ====== QUESTION BRICK AFTER ======
3	40005	100

# ======== GOOMBA ========
# move
702	30001	100	30002	100
# die by kick
703	30003	100
# die by attack
704	30004	100

# ======== KOOPAS ========
# move right
